FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
4176/9,44019372,25-58485397-3,RUIZ,MILAGROS,"AVENIDA 8 4336","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",342811,"CONCURSO PREVENTIVO - GUTIERREZ RENATA",NULL,2021-04-29,NULL,NULL,NULL,ACTIVO
41805/18,67991397,NULL,Hechos.,"ANA PAULA","DIAGONAL G├£EMES 902","FISCO DE LA PROVINCIA",186186,"CONCURSO PREVENTIVO - MENDOZA VICENTE",NULL,2023-09-27,2021-01-15,NULL,"EN REVISI├ôN",ACTIVO
41810/13,28213300,NULL,PAEZ,JULIA,"CAMINO 2 2669",AFIP,NULL,"COBRO DE PESOS - ORTIZ LORENZO",NULL,2024-09-13,NULL,NULL,NULL,CADUCADO
41937/3,0000,23-22032083-9,PEREZ,MORENA,"AV. MITRE 3612","BANCO NACI├ôN",254312,"EJECUCI├ôN FISCAL - PEREZ GONZALO",NULL,2016-06-17,2022-07-13,NULL,NULL,ACTIVO
41984/18,50953451,24-78311862-6,PEREZ,TIZIANO,"AV. RIVADAVIA 1973","FISCO DE LA PROVINCIA",926963,"CONCURSO PREVENTIVO - ROMERO BRUNO","JUZGADO N┬░ 25",2017-04-23,NULL,NULL,NULL,ACTIVO
42017/3,62763871,25-99605293-4,SOSA,"JUAN CRUZ","AVENIDA 7 1095",NULL,357027,"COBRO DE PESOS - ROMERO FRANCESCA",NULL,2016-02-22,NULL,TOTAL,NULL,NULL
42042/25,55201974,21-66474897-6,PEREYRA,AMBAR,"CAMINO OMAR NU├æEZ 4770","BANCO NACI├ôN",854484,"COBRO DE PESOS - FLORES DANTE",NULL,2021-11-25,NULL,NULL,NULL,ACTIVO
42047/6,17982901,27-79410901-6,GONZALEZ,GUADALUPE,"AV. 9 1043",AFIP,NULL,"COBRO DE PESOS - MENDOZA LUZ MARIA","JUZGADO N┬░ 20",2017-10-23,2025-01-30,NULL,,ACTIVO
42061/17,61634300,24-63875631-3,GOMEZ,ISABELLA,"AV. ALEM 1504",NULL,995747,"EJECUCI├ôN FISCAL - TORRES BENJAMIN","JUZGADO N┬░ 18",2016-03-12,NULL,NULL,NULL,ACTIVO
4207/5,17269971,21-95442825-3,PEREYRA,AGUSTINA,NULL,NULL,552947,"CONCURSO PREVENTIVO - RAMOS FRANCISCO","JUZGADO N┬░ 10",2021-10-31,2025-05-03,NULL,NULL,NULL
42158/3,12521124,21-32070006-6,GODOY,FELIPE,"DIAGONAL TUCUM├üN 2101",AFIP,317023,NULL,NULL,2022-09-11,NULL,TOTAL,NULL,NULL
42163/11,40960082,26-29152416-7,GUTIERREZ,NULL,"DIAGONAL 1 954","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GODOY SANTINO BENJAMIN","JUZGADO N┬░ 22",2022-09-27,2024-10-04,NULL,NULL,NULL
42176/17,26685887,21-32784099-1,GONZALEZ,GONZALO,"AVENIDA 8 2855",AFIP,925427,"CONCURSO PREVENTIVO - CORREA JUAN IGNACIO",NULL,2023-12-22,NULL,NULL,,NULL
42326/14,97286902,27-37517943-5,SILVA,ALMA,"DIAGONAL 147 BIS 37","BANCO NACI├ôN",NULL,"COBRO DE PESOS - DIAZ JULIANA","JUZGADO N┬░ 22",2020-05-17,2022-12-07,PARCIAL,"SIN OBSERVACIONES",ACTIVO
42329/13,83951776,26-18103041-1,CASTILLO,VALENTIN,"CALLE CHACO 2766","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2025-05-12,2023-06-10,NULL,NULL,NULL
42348/16,???,NULL,GARCIA,CAMILA,"AV. SAN JUAN 3683","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - VALDEZ GUILLERMINA","JUZGADO N┬░ 30",2020-06-05,NULL,NULL,NULL,ACTIVO
42377/5,23153882,22-74499904-1,GONZALEZ,FELICITAS,"AV. 7 4517",NULL,879465,"CONCURSO PREVENTIVO - RODRIGUEZ ALFONSINA","JUZGADO N┬░ 21",2022-09-02,NULL,TOTAL,NULL,NULL
42402/9,22150773,23-97099799-1,SANCHEZ,"MARIA BELEN","AVENIDA 2 4590",AFIP,NULL,"CONCURSO PREVENTIVO - GOMEZ BAUTISTA",NULL,2018-03-04,NULL,NULL,,CADUCADO
42446/19,77647706,21-16342227-5,RIOS,AMBAR,"DIAG. 3 4634",NULL,950658,"EJECUCI├ôN FISCAL - FLORES EMILIA",NULL,2023-12-29,NULL,NULL,NULL,ACTIVO
4245/9,NULL,25-92182838-2,GOMEZ,ALFONSINA,"DIAG. 4 1286","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",214709,"EJECUCI├ôN FISCAL - RODRIGUEZ CATALINA",NULL,2024-07-04,NULL,NULL,NULL,ACTIVO
42580/11,65437712,27-47982255-7,PEREYRA,AGUST├ìN,???,AFIP,NULL,"CONCURSO PREVENTIVO - RUIZ LOLA","JUZGADO N┬░ 15",2025-07-11,NULL,NULL,NULL,ACTIVO
42646/10,35045460,0000,PAZ,"MIA JAZMIN","BLV. 5 1855",NULL,NULL,NULL,"JUZGADO N┬░ 2",2022-05-02,NULL,NULL,NULL,NULL
42824/2,36994829,26-27044427-5,RODRIGUEZ,FAUSTO,"AV. NEUQU├ëN 3116",AFIP,NULL,"CONCURSO PREVENTIVO - AGUIRRE LAUTARO BENJAMIN","JUZGADO N┬░ 24",2022-01-06,2024-10-03,NULL,NULL,NULL
42844/4,22769367,25-14534074-3,###,MARTINA,"CALLE LA PAMPA 4804","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",194321,"CONCURSO PREVENTIVO - SILVA THIAGO","JUZGADO N┬░ 21",2015-12-13,NULL,NULL,NULL,NULL
43006/17,79875819,26-58533502-6,RODRIGUEZ,JUANA,"AV. J.J. CASTELLI 4569","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - GODOY SANTIAGO BENJAMIN","JUZGADO N┬░ 26",2018-04-21,2024-09-08,PARCIAL,NULL,NULL
43014/21,55398456,26-92614707-0,TORRES,DELFINA,"DIAGONAL RAWSON 3306","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - ACOSTA MALENA","JUZGADO N┬░ 30",2015-12-11,NULL,TOTAL,NULL,NULL
4303/14,79222809,NULL,GUTIERREZ,EMMA,"DIAG. NEUQU├ëN 130","BANCO NACI├ôN",276231,"EJECUCI├ôN FISCAL - FIGUEROA FELIPE","JUZGADO N┬░ 1",2023-08-04,NULL,PARCIAL,NULL,ACTIVO
43034/24,25820748,22-15079839-0,MU├æOZ,AGUSTIN,"CALLE BAH├ìA BLANCA 46","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - CARDOZO CATALINA","JUZGADO N┬░ 24",2023-08-21,2020-09-18,TOTAL,NULL,NULL
43058/14,0000,25-96578484-5,MANSILLA,JUANA,"BLV. LA PAMPA 3531","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - FERNANDEZ THIAGO DANIEL","JUZGADO N┬░ 27",2020-08-16,2024-05-20,PARCIAL,NULL,CADUCADO
43107/1,NULL,24-78278141-7,GOMEZ,GONZALO,"DIAGONAL MISIONES 3296",NULL,46363,"EJECUCI├ôN FISCAL - SANCHEZ SOFIA BELEN",NULL,2023-01-29,2022-04-19,NULL,"SIN OBSERVACIONES",CADUCADO
43110/10,79503213,20-95399964-2,???,AGUST├ìN,"DIAGONAL 9 440","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",146099,"CONCURSO PREVENTIVO - FERNANDEZ FRANCISCO",NULL,2016-12-07,2024-12-23,NULL,NULL,ACTIVO
43141/12,73932379,23-76709046-2,VERA,FAUSTO,"DIAGONAL 3 2407","FISCO DE LA PROVINCIA",35594,"COBRO DE PESOS - ROMERO JUAN IGNACIO","JUZGADO N┬░ 10",2021-06-20,NULL,TOTAL,NULL,ACTIVO
43206/7,82020418,NULL,GIMENEZ,"THIAGO BENJAMIN","AV. ALVEAR 1398",AFIP,NULL,"EJECUCI├ôN FISCAL - NAVARRO HELENA","JUZGADO N┬░ 16",2017-02-09,2022-09-01,NULL,NULL,NULL
43223/25,82802251,21-25132403-9,PAZ,JAZMIN,"AV. CHILECITO 2287","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",787442,"CONCURSO PREVENTIVO - CABRERA NICOLAS","JUZGADO N┬░ 18",2024-01-31,NULL,TOTAL,NULL,NULL
4323/24,67469070,25-81669963-0,FERNANDEZ,"IAN BENJAMIN","CALLE TIERRA DEL FUEGO 3214","FISCO DE LA PROVINCIA",809511,"COBRO DE PESOS - MORENO JULIANA","JUZGADO N┬░ 5",2022-07-07,NULL,NULL,NULL,NULL
43284/22,95775520,27-49044798-6,GONZALEZ,"THIAGO LEONEL","DIAGONAL J.J. CASTELLI 2474","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - MARTINEZ SOF├ìA",NULL,2017-02-03,NULL,NULL,NULL,NULL
4329/12,51318695,20-68145697-8,ROJAS,MATEO,"AV. MAR DEL PLATA 1197",AFIP,NULL,NULL,"JUZGADO N┬░ 7",2016-07-11,2021-02-20,NULL,NULL,CADUCADO
43320/11,29409237,NULL,RODRIGUEZ,SOFIA,"AVENIDA TUCUM├üN 1537","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - AGUIRRE ENZO","JUZGADO N┬░ 3",2020-03-18,NULL,NULL,NULL,NULL
43371/14,27849366,23-19256618-8,RAMIREZ,"JUAN CRUZ",NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",53585,"EJECUCI├ôN FISCAL - SOSA MORA","JUZGADO N┬░ 3",2021-06-13,2023-07-10,NULL,NULL,CADUCADO
43459/7,51969024,NULL,TORRES,FRANCESCA,"BLV. 7 548","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - RIOS SOFIA","JUZGADO N┬░ 23",NULL,NULL,NULL,NULL,CADUCADO
43494/13,75158627,23-40598082-3,PAEZ,"MIA MORENA","CALLE 9 890","FISCO DE LA PROVINCIA",733815,"EJECUCI├ôN FISCAL - ALVAREZ JOSEFINA","JUZGADO N┬░ 11",2020-01-23,NULL,NULL,NULL,NULL
43500/8,NULL,26-83309710-1,???,EMILIA,"DIAGONAL J.J. CASTELLI 2888","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",125342,"EJECUCI├ôN FISCAL - NU├æEZ SANTINO NICOLAS","JUZGADO N┬░ 5",2017-02-03,2021-01-15,TOTAL,NULL,CADUCADO
43582/10,99675238,24-52591921-5,LUCERO,SANTINO,"BLV. SAN MARTIN 2106","BANCO NACI├ôN",7229,"EJECUCI├ôN FISCAL - FERNANDEZ BENJAMIN",NULL,2017-10-30,NULL,NULL,NULL,ACTIVO
43689/9,51451188,26-26633609-2,HERRERA,AMBAR,"CALLE 5 114",AFIP,915815,"EJECUCI├ôN FISCAL - PAZ SANTINO EZEQUIEL","JUZGADO N┬░ 18",2017-02-05,2020-01-01,NULL,NULL,CADUCADO
43696/22,28943293,NULL,VEGA,"JUAN BAUTISTA","AVENIDA FORMOSA 1710","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - CORREA GUADALUPE",NULL,NULL,2022-05-14,NULL,NULL,NULL
43710/9,16603748,24-49028195-8,AGUIRRE,"ANGEL GABRIEL","CALLE C├ôRDOBA 891",AFIP,NULL,"COBRO DE PESOS - CASTRO SANTINO BENJAMIN","JUZGADO N┬░ 21",2023-12-27,NULL,NULL,NULL,ACTIVO
43773/18,29352029,27-58863542-4,ORTIZ,MALENA,"CAMINO 6 3774",AFIP,352605,"EJECUCI├ôN FISCAL - LOPEZ SANTIAGO","JUZGADO N┬░ 16",2022-07-10,NULL,PARCIAL,NULL,CADUCADO
43793/3,67384732,25-20026969-8,ACOSTA,JUANA,"BOULEVARD 8 668","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",204077,"CONCURSO PREVENTIVO - FLORES LAUTARO BENJAMIN",NULL,2023-08-29,NULL,NULL,NULL,NULL
43940/8,70593492,24-78962112-1,PEREZ,###,"AV. MALVINAS ARGENTINAS 3244","BANCO NACI├ôN",447278,"CONCURSO PREVENTIVO - MARTINEZ TOM├ÇS",NULL,2022-10-15,NULL,PARCIAL,NULL,ACTIVO
44009/4,92802324,NULL,CORONEL,VALENTINA,"AVENIDA SAN JUAN 2376",NULL,318483,"CONCURSO PREVENTIVO - MANSILLA EMMA","JUZGADO N┬░ 1",2022-09-22,NULL,TOTAL,NULL,NULL
44025/25,41541064,25-54647650-7,GIMENEZ,"MATEO BENJAMIN","BOULEVARD R├ìO GALLEGOS 2834","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - RAMIREZ JUAN IGNACIO","JUZGADO N┬░ 30",2015-11-18,2022-06-22,TOTAL,"SIN OBSERVACIONES",CADUCADO
4420/10,52604987,NULL,HERNANDEZ,PEDRO,"DIAGONAL OMAR NU├æEZ 2293",AFIP,NULL,"EJECUCI├ôN FISCAL - RODRIGUEZ NICOLAS","JUZGADO N┬░ 30",2020-09-20,NULL,PARCIAL,NULL,NULL
4421/7,83371339,27-27028146-3,FERNANDEZ,"THIAGO AGUSTIN",NULL,AFIP,NULL,"COBRO DE PESOS - AGUIRRE VALENTINO",NULL,2020-01-24,NULL,PARCIAL,NULL,CADUCADO
44268/22,75568034,27-35531852-9,RODRIGUEZ,"JUAN BAUTISTA","AV. OMAR NU├æEZ 203",NULL,19587,"CONCURSO PREVENTIVO - GOMEZ DANTE","JUZGADO N┬░ 20",2016-10-09,NULL,NULL,NULL,CADUCADO
44307/6,NULL,26-28078226-9,"   ","THIAGO AGUSTIN","BLV. 9 908","FISCO DE LA PROVINCIA",959041,"EJECUCI├ôN FISCAL - GARCIA THIAGO BENJAMIN","JUZGADO N┬░ 17",2017-07-18,NULL,NULL,NULL,NULL
44449/19,13360457,26-25449624-0,MOYANO,BRUNO,"DIAGONAL ROSARIO 4455","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - TOLEDO JUAN IGNACIO","JUZGADO N┬░ 7",2025-04-26,NULL,PARCIAL,"SIN OBSERVACIONES",NULL
44461/13,49998375,26-78695384-8,FERNANDEZ,SOFIA,"CAMINO POSADAS 2053","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",725010,"COBRO DE PESOS - GARCIA MORENA",NULL,2023-05-21,2023-01-17,NULL,NULL,NULL
44475/2,32278214,27-14933701-6,DIAZ,MALENA,"BOULEVARD MERLO 2367","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - RODRIGUEZ DELFINA","JUZGADO N┬░ 2",2024-04-29,2022-03-16,NULL,NULL,NULL
44496/11,86342321,26-67650846-1,PEREZ,SANTIAGO,"AV. 9 4313","FISCO DE LA PROVINCIA",461889,"CONCURSO PREVENTIVO - RODRIGUEZ SANTINO NICOLAS","JUZGADO N┬░ 19",2023-12-13,2024-01-03,NULL,NULL,NULL
44580/17,98958895,NULL,SANCHEZ,EMMA,"AVENIDA SALTA 3461","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",86078,"CONCURSO PREVENTIVO - MOLINA CAMILA",NULL,2022-01-07,NULL,NULL,"EN REVISI├ôN",NULL
44583/15,73334786,26-81768661-4,LOPEZ,JOAQU├ìN,"DIAGONAL MERLO 2909",AFIP,774408,"EJECUCI├ôN FISCAL - GODOY GONZALO","JUZGADO N┬░ 12",2020-10-17,NULL,NULL,"SIN OBSERVACIONES",ACTIVO
44595/11,17157107,20-92455523-6,PAEZ,THIAGO,"AV. J.M. DE ROSAS 190","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - CORONEL ABIGAIL",NULL,2017-11-11,NULL,NULL,NULL,NULL
44765/5,NULL,22-81555747-8,FIGUEROA,"MORENA JAZMIN","CALLE LA PLATA 4321",NULL,NULL,"CONCURSO PREVENTIVO - DIAZ LUCIO",NULL,2019-05-11,2021-08-23,NULL,NULL,NULL
44786/19,70955645,23-56816538-0,MARTINEZ,"JUAN FRANCISCO",NULL,NULL,NULL,NULL,NULL,2020-09-13,NULL,NULL,,ACTIVO
4486/15,NULL,NULL,VERA,"MIA JAZMIN","AVENIDA 3 4091","FISCO DE LA PROVINCIA",86125,NULL,NULL,2017-07-11,2024-11-04,PARCIAL,NULL,NULL
44894/4,33209627,20-78375093-9,CORREA,BAUTISTA,"BLV. SAN MARTIN 482",AFIP,577438,"CONCURSO PREVENTIVO - FERNANDEZ MIA","JUZGADO N┬░ 4",2022-11-18,2025-06-25,NULL,NULL,ACTIVO
44935/16,62949584,23-31203382-6,LUNA,"THIAGO EZEQUIEL",NULL,"FISCO DE LA PROVINCIA",248706,"CONCURSO PREVENTIVO - SANCHEZ IGNACIO","JUZGADO N┬░ 19",2021-04-18,2022-08-03,NULL,"EN REVISI├ôN",NULL
45075/17,Joven.,27-12976975-1,DIAZ,DANTE,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - AGUERO LUCA",NULL,2021-07-28,2024-07-23,TOTAL,NULL,ACTIVO
45080/19,63465354,23-81014076-3,GONZALEZ,DELFINA,"AV. 3 2273","FISCO DE LA PROVINCIA",NULL,NULL,"JUZGADO N┬░ 23",2017-06-07,2022-07-13,NULL,NULL,NULL
45083/25,"   ",24-78676492-9,DIAZ,JULIA,"AVENIDA SANTIAGO DEL ESTERO 476","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - SOTO DANTE",NULL,2021-09-26,NULL,NULL,,ACTIVO
45087/4,63076345,23-47195557-1,SANCHEZ,AMPARO,"AV. RESISTENCIA 488","BANCO NACI├ôN",NULL,"COBRO DE PESOS - GONZALEZ EMMA",NULL,2016-10-13,2023-12-08,NULL,NULL,CADUCADO
45102/12,36536108,22-35632131-1,AYALA,BAUTISTA,"DIAGONAL CORRIENTES 363","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",946300,"COBRO DE PESOS - OJEDA MARTINA","JUZGADO N┬░ 15",2020-07-29,2024-03-11,NULL,NULL,NULL
45110/17,25794222,NULL,NULL,JUANA,"AV. MALVINAS ARGENTINAS 4495","FISCO DE LA PROVINCIA",89039,"EJECUCI├ôN FISCAL - FERREYRA PEDRO","JUZGADO N┬░ 19",2024-01-24,2021-12-24,NULL,NULL,CADUCADO
45123/11,84468809,21-59681862-0,FERNANDEZ,MALENA,"AV. SAN LUIS 74","FISCO DE LA PROVINCIA",553991,"COBRO DE PESOS - SANCHEZ ALMA MIA",NULL,2022-04-04,NULL,NULL,NULL,ACTIVO
4516/14,21186876,26-51841937-7,GIMENEZ,0000,NULL,AFIP,NULL,"COBRO DE PESOS - LEDESMA AUGUSTO","JUZGADO N┬░ 1",2020-10-28,NULL,NULL,NULL,NULL
45213/15,57323976,23-76830101-5,AVILA,CAMILA,"BOULEVARD ALEM 1180","BANCO NACI├ôN",636615,"CONCURSO PREVENTIVO - VALDEZ FRANCISCO","JUZGADO N┬░ 12",2023-06-12,NULL,NULL,,CADUCADO
45218/6,32455671,20-25330126-0,CHAVEZ,GERONIMO,"CALLE SANTIAGO DEL ESTERO 4962",AFIP,973909,"COBRO DE PESOS - FERNANDEZ DELFINA",NULL,2017-08-06,2023-09-17,NULL,NULL,ACTIVO
4522/2,78905605,25-33985633-5,LOPEZ,SANTIAGO,"AV. TUCUM├üN 4087",NULL,NULL,NULL,"JUZGADO N┬░ 30",2025-01-18,NULL,NULL,"EN REVISI├ôN",CADUCADO
45251/12,57108808,20-99527550-2,FLORES,"SANTIAGO BENJAMIN","BOULEVARD SAN MARTIN 2925","FISCO DE LA PROVINCIA",608528,"CONCURSO PREVENTIVO - GIMENEZ JUAN BAUTISTA",NULL,2019-11-05,NULL,NULL,NULL,NULL
4534/11,81967268,23-27047036-1,###,EMMA,"AV. VIEDMA 1852",AFIP,161990,"COBRO DE PESOS - SOTO FRANCISCO",NULL,2023-08-05,NULL,NULL,NULL,NULL
45410/21,41788179,23-23063457-0,CARRIZO,"JUAN IGNACIO","CALLE CONSTITUCI├ôN 2548","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",749978,"EJECUCI├ôN FISCAL - NU├æEZ MAITE",NULL,2025-06-23,NULL,NULL,,NULL
45415/20,59330722,26-75426075-4,ACOSTA,JULIETA,"DIAG. 8 4568","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - GOMEZ MARIA GUADALUPE","JUZGADO N┬░ 19",2017-06-07,NULL,TOTAL,NULL,NULL
45501/8,17614495,21-18370142-6,FLORES,MAXIMILIANO,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",539705,"EJECUCI├ôN FISCAL - ACOSTA ISABEL",NULL,2021-06-19,NULL,NULL,NULL,CADUCADO
4552/20,49352797,26-87747130-4,NU├æEZ,PEDRO,"AVENIDA J.M. DE ROSAS 20","FISCO DE LA PROVINCIA",501507,"COBRO DE PESOS - CARDOZO LUCAS BENJAMIN","JUZGADO N┬░ 16",2021-10-23,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
4553/3,95494344,26-55041205-6,GONZALEZ,MALENA,"BLV. BAH├ìA BLANCA 24","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - ALVAREZ CATALINA","JUZGADO N┬░ 8",2017-02-27,NULL,TOTAL,NULL,ACTIVO
45609/12,61068637,21-87515922-6,MIRANDA,JULIETA,"DIAGONAL MISIONES 2330","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2021-09-02,NULL,NULL,,NULL
45629/21,39310899,22-29279242-5,ALVAREZ,SIMON,"CALLE 1 3283","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - SUAREZ MATEO","JUZGADO N┬░ 2",2021-04-28,NULL,NULL,NULL,CADUCADO
45658/4,79664578,22-13331097-7,RUIZ,###,"CALLE SALTA 2939",AFIP,211743,"CONCURSO PREVENTIVO - VALDEZ TOBIAS","JUZGADO N┬░ 13",2016-03-10,NULL,TOTAL,NULL,NULL
45721/23,64700539,24-45996855-7,BARRIOS,FACUNDO,"AV. RIVADAVIA 4559","FISCO DE LA PROVINCIA",266522,"CONCURSO PREVENTIVO - DIAZ MARIA EMILIA",NULL,2022-04-25,2020-03-17,NULL,NULL,CADUCADO
45765/9,29452071,26-53949999-6,ROMERO,GERONIMO,???,NULL,NULL,"EJECUCI├ôN FISCAL - HERRERA FAUSTO","JUZGADO N┬░ 28",2017-12-27,NULL,PARCIAL,NULL,NULL
45775/18,49311518,22-54020479-2,CAMPOS,EMILIA,"DIAGONAL RIVADAVIA 3207",NULL,243135,"COBRO DE PESOS - FARIAS CATALINA",NULL,2020-04-04,NULL,TOTAL,"SIN OBSERVACIONES",NULL
45816/16,60405423,27-33141870-7,RIOS,FAUSTO,"BOULEVARD LA PLATA 299",NULL,NULL,"COBRO DE PESOS - MANSILLA LORENZO","JUZGADO N┬░ 8",2023-07-04,2022-03-15,NULL,NULL,ACTIVO
45857/16,18327672,24-94553609-5,SANCHEZ,DELFINA,"AV. CHILECITO 1390","FISCO DE LA PROVINCIA",852392,"EJECUCI├ôN FISCAL - MARTINEZ JOSEFINA","JUZGADO N┬░ 17",2017-08-25,NULL,PARCIAL,NULL,NULL
45868/17,79968163,22-20858434-8,LEIVA,MATEO,"CALLE SALTA 4710","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - ROMERO ISABELLA","JUZGADO N┬░ 14",2017-12-09,NULL,NULL,NULL,NULL
46004/16,68874390,26-60716521-1,MAIDANA,"MIA VALENTINA","CALLE 8 4817","BANCO NACI├ôN",NULL,NULL,"JUZGADO N┬░ 23",2024-09-13,NULL,PARCIAL,NULL,CADUCADO
46102/21,70791392,25-88665001-3,RIOS,"MARIA BELEN","AVENIDA 7 2714","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - CARDOZO GUADALUPE","JUZGADO N┬░ 5",2020-11-08,NULL,NULL,,CADUCADO
46124/22,74709317,21-53917206-1,GOMEZ,"THIAGO BENJAMIN","DIAGONAL ALVEAR 1162",NULL,NULL,"EJECUCI├ôN FISCAL - CACERES OCTAVIO","JUZGADO N┬░ 9",2020-08-14,NULL,NULL,"EN REVISI├ôN",NULL
4613/10,46314415,###,ESCOBAR,BENJAMIN,"AV. 6 969","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GARCIA GERONIMO",NULL,2021-03-07,NULL,NULL,"SIN OBSERVACIONES",NULL
4619/13,31970864,23-13109507-7,LUNA,"JUAN BAUTISTA","CALLE COMODORO RIVADAVIA 3364","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - TORRES EMMA",NULL,2023-05-11,NULL,NULL,NULL,NULL
46214/14,56816735,22-82582412-9,MARTINEZ,SOFIA,"AV. ENTRE R├ìOS 1975","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - TOLEDO MIA","JUZGADO N┬░ 9",NULL,2025-01-26,NULL,"SIN OBSERVACIONES",ACTIVO
46295/25,50660308,24-45821536-3,BRAVO,OLIVIA,NULL,NULL,280367,"EJECUCI├ôN FISCAL - LUNA VICTORIA","JUZGADO N┬░ 1",2025-01-01,NULL,NULL,NULL,ACTIVO
46333/15,74697307,21-33673462-4,MALDONADO,MORENA,"DIAGONAL SANTA ROSA 1713",NULL,822251,"EJECUCI├ôN FISCAL - ALVAREZ JUAN FRANCISCO","JUZGADO N┬░ 19",NULL,NULL,NULL,"SIN OBSERVACIONES",NULL
46455/1,NULL,NULL,PEREZ,SANTIAGO,"CALLE J.M. DE ROSAS 3771",NULL,NULL,"EJECUCI├ôN FISCAL - SILVA MARIA EMILIA","JUZGADO N┬░ 3",2018-06-22,NULL,TOTAL,NULL,ACTIVO
46499/18,21627631,???,HERRERA,CIRO,"DIAGONAL MENDOZA 1098","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",590489,"EJECUCI├ôN FISCAL - DIAZ MAXIMO","JUZGADO N┬░ 20",2017-02-14,NULL,NULL,NULL,CADUCADO
46506/5,47084699,26-78952567-3,MEDINA,LUCIANA,"CALLE J.M. DE ROSAS 1554",NULL,20997,"COBRO DE PESOS - AGUERO ISABELLA","JUZGADO N┬░ 9",2025-02-04,NULL,TOTAL,NULL,CADUCADO
46537/25,47466199,27-81543494-4,GARCIA,VALENTINO,###,"BANCO NACI├ôN",NULL,NULL,"JUZGADO N┬░ 26",2017-08-18,NULL,PARCIAL,NULL,CADUCADO
46544/22,NULL,23-36831580-8,SANCHEZ,"IAN EZEQUIEL","CALLE 3 4531","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - CHAVEZ JUANA","JUZGADO N┬░ 5",2022-07-30,NULL,NULL,,NULL
46657/24,50909599,27-81122902-8,MARTINEZ,FRANCESCO,"CALLE CIUDAD AUT├ôNOMA DE BUENOS AIRES 4182",AFIP,900507,"EJECUCI├ôN FISCAL - VILLALBA IGNACIO",NULL,2022-09-22,NULL,NULL,,CADUCADO
